YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1932,46.8,42.9,40.0,52.6,64.2,73.2,77.4,77.8,70.3,58.0,44.7,39.6
1933,42.6,38.4,43.0,55.7,67.2,74.7,76.1,76.0,71.8,56.5,45.0,38.6
1934,39.1,24.6,41.2,53.9,66.5,77.2,80.8,74.1,70.6,56.2,49.6,37.3
1935,33.3,35.4,50.2,51.9,61.8,73.4,79.4,76.8,67.0,58.2,50.2,32.1
1936,30.6,29.6,50.3,52.2,67.4,72.8,78.4,77.9,71.4,59.7,45.0,39.8
1937,43.8,36.6,42.1,53.4,65.8,75.1,77.2,77.8,65.9,55.3,46.6,37.0
1938,35.7,40.9,49.8,57.1,63.4,72.8,78.4,78.6,67.4,58.8,49.8,38.4
1939,37.8,42.3,46.4,53.4,68.0,75.4,76.2,78.8,71.0,58.4,46.0,40.1
1940,24.9,37.1,40.7,50.8,64.4,74.8,77.5,73.4,66.8,55.7,48.2,42.8
1941,34.8,33.8,39.8,60.6,66.8,73.2,77.0,76.1,72.8,64.4,50.4,41.9
1942,34.9,34.2,47.4,59.0,69.1,74.4,78.8,75.1,70.4,60.3,48.3,34.9
1943,36.2,38.8,45.4,51.2,67.1,79.2,78.5,79.0,67.6,56.4,46.7,36.4
1944,37.4,38.2,43.0,53.8,71.6,74.8,79.2,76.2,70.5,56.4,47.4,34.4
1945,30.8,38.4,56.2,59.5,62.8,74.5,76.4,74.8,72.8,57.6,49.3,32.9
1946,36.8,39.2,53.0,56.0,65.2,72.4,76.2,72.6,70.0,61.4,51.8,41.4
1947,41.7,31.4,40.0,57.2,64.6,71.6,75.5,79.0,69.8,64.5,46.2,36.6
1948,28.8,36.8,48.0,55.9,64.6,74.0,78.0,75.8,69.4,56.2,51.4,40.2
1949,42.6,43.8,46.6,55.0,66.0,75.1,81.0,77.6,67.1,63.4,48.1,41.9
1950,48.0,38.7,41.7,52.4,64.5,73.9,76.2,75.6,66.9,61.0,47.9,35.6
1951,39.3,38.6,45.6,55.9,64.9,73.4,78.7,76.8,70.3,62.1,44.1,40.9
1952,40.7,41.1,43.3,57.0,64.2,76.9,80.5,76.2,68.9,55.3,48.2,38.9
1953,40.7,42.6,47.5,56.1,70.1,74.6,79.6,76.3,69.7,60.5,48.1,40.9
1954,35.9,43.5,44.5,59.6,62.6,74.4,78.8,75.2,73.3,62.0,45.2,37.1
1955,35.4,37.8,47.1,58.2,67.1,70.2,82.1,78.3,69.9,59.6,45.5,33.6
1956,34.5,41.1,43.2,53.6,63.6,73.3,75.6,75.0,66.6,59.0,46.1,44.2
1957,32.9,41.4,45.8,59.2,67.2,76.6,79.2,75.7,71.9,55.4,49.6,41.4
1958,34.4,31.2,41.4,57.1,65.2,71.3,79.1,75.4,69.1,59.1,49.9,32.9
1959,34.9,39.0,45.4,58.5,69.8,76.0,78.5,80.3,73.2,62.2,46.8,42.0
1960,38.2,38.3,35.6,61.2,63.7,74.1,77.0,78.5,71.3,58.7,48.5,31.0
1961,29.8,38.3,47.6,52.0,62.2,73.2,78.6,77.6,74.8,59.9,50.2,36.4
1962,34.6,34.6,44.2,56.3,68.7,73.8,75.3,76.8,67.0,60.3,44.9,33.2
1963,31.4,31.0,48.5,57.8,64.9,73.7,77.6,75.4,66.5,61.2,49.8,31.1
1964,36.3,36.9,47.5,54.1,68.1,76.0,79.1,75.5,69.9,55.1,51.0,39.9
1965,33.4,36.8,41.4,51.8,69.1,72.6,78.2,77.2,72.6,57.5,49.5,41.5
1966,32.4,36.2,47.5,52.7,65.0,76.0,80.9,78.7,68.6,57.0,49.5,37.6
1967,41.0,34.0,45.0,57.6,60.0,74.7,77.2,76.2,68.0,57.9,45.0,39.9
1968,31.4,34.3,49.7,58.0,63.7,74.1,79.9,79.2,72.0,61.3,50.0,36.6
1969,34.2,36.9,43.0,58.7,68.4,77.1,79.5,76.3,70.1,58.8,47.2,36.3
1970,30.0,37.1,41.9,55.3,68.3,75.2,79.2,79.0,75.0,62.5,49.3,39.7
1971,31.3,39.1,43.2,55.0,63.7,75.9,78.3,76.7,73.0,64.7,48.2,45.5
1972,38.5,36.5,45.6,54.1,64.6,70.2,77.5,75.9,71.0,56.0,46.8,43.6
1973,37.6,37.0,51.1,56.0,62.8,77.1,79.2,79.9,74.3,63.3,51.6,41.9
1974,42.9,39.2,49.2,58.3,65.1,71.5,79.0,78.4,70.2,57.3,50.9,43.1
1975,40.9,40.6,45.2,53.6,69.7,76.4,79.3,80.1,68.5,63.2,54.4,40.5
1976,33.9,46.9,51.3,59.9,65.0,77.6,78.4,76.7,70.4,55.4,43.0,35.5
1977,25.4,38.8,52.7,60.1,69.4,74.3,80.9,78.8,73.9,59.0,51.8,38.1
1978,32.5,31.4,44.4,57.7,65.8,76.7,78.8,81.3,73.6,59.4,52.2,43.1
1979,35.1,28.4,51.5,56.0,67.7,72.4,78.6,78.5,71.6,58.6,54.4,43.7
1980,37.2,36.1,46.2,60.1,69.5,74.8,82.3,82.8,77.1,59.9,48.6,39.8
1981,33.0,43.7,47.6,62.1,66.2,78.7,80.2,77.0,71.0,58.3,51.4,38.5
1982,28.1,38.3,45.7,54.0,69.0,72.8,80.3,75.4,70.6,60.2,51.8,45.5
1983,38.1,38.7,48.8,53.3,64.9,75.0,81.2,81.0,72.6,60.5,50.3,36.0
1984,32.2,43.8,41.8,54.9,64.9,76.9,76.5,77.8,68.3,65.2,46.0,45.6
1985,30.8,37.8,47.7,61.6,68.1,72.3,79.0,76.7,71.9,61.2,54.3,36.4
1986,35.4,35.3,47.4,56.2,68.1,76.6,81.1,74.6,70.9,61.1,46.5,39.8
1987,34.7,37.0,47.7,54.8,67.2,76.4,82.6,78.7,72.1,54.4,49.9,41.5
1988,31.0,37.3,47.2,54.4,65.8,74.4,81.9,80.7,68.9,54.4,49.9,38.7
1989,39.9,37.8,46.1,55.4,64.1,76.8,78.3,77.1,71.4,60.5,48.0,27.9
1990,43.6,45.2,50.2,56.8,64.3,75.0,79.4,76.5,69.6,62.8,52.0,44.5
1991,38.6,43.0,48.8,58.2,73.0,76.8,81.4,80.0,71.0,60.4,48.8,42.3
1992,38.2,41.2,45.0,55.4,62.3,71.7,79.5,74.0,69.2,56.0,48.8,39.6
1993,39.7,34.3,42.2,54.8,67.4,75.3,83.1,79.6,71.0,58.1,48.8,38.1
1994,28.8,36.3,45.4,62.0,63.1,79.4,81.8,75.5,70.2,59.1,53.3,44.2
1995,39.6,34.3,49.2,56.3,65.8,74.6,81.5,81.3,70.9,62.3,43.1,35.6
1996,32.9,37.3,42.9,56.8,63.9,77.2,77.6,76.5,70.6,59.4,44.1,43.0
1997,37.0,44.7,48.7,54.0,62.9,73.1,80.4,77.6,70.5,59.6,46.2,41.0
1998,43.0,43.4,46.9,57.4,67.5,73.0,78.9,79.4,75.4,60.1,50.3,44.4
1999,38.2,41.0,44.5,56.5,67.3,74.7,83.0,79.7,70.0,57.2,53.1,42.0
2000,35.9,42.5,51.7,55.6,67.8,74.7,74.7,75.1,67.6,60.2,46.7,31.8
2001,35.5,40.9,43.8,57.6,65.9,75.2,75.3,78.9,68.9,59.7,54.8,45.5
2002,41.6,42.6,47.7,60.0,65.2,76.1,80.9,81.1,73.0,58.7,47.1,37.2
2003,31.1,33.7,47.1,55.1,61.7,71.4,77.8,78.8,70.5,57.5,53.1,39.2
2004,30.6,38.2,48.8,57.4,71.8,73.4,78.6,75.9,71.6,58.3,51.0,40.1
2005,36.1,39.6,43.1,57.3,61.9,75.7,80.5,80.1,75.0,60.5,50.2,36.4
2006,43.1,38.6,47.9,59.5,65.1,74.5,80.4,80.6,67.8,57.3,50.7,44.2
